from_to,gdp_diff_2018,gdp_mean_2018,neighbors,share_lang,PDI_diff,MAS_diff,fb_users_diff,fb_users_perc_mean,fb_users_mean,share_cont
CH-NG,66381.35844518965,38469.52761729537,0,0,43.0,24.0,23420000.0,27.342040163566104,15410000.0,0
CH-NL,13833.578342222689,64743.41766877884,0,0,4.0,56.0,6100000.0,49.555321333619986,6750000.0,1
CH-NO,1851.877429206288,70734.26812528705,0,0,3.0,62.0,300000.0,51.931221514554316,3550000.0,1
CH-NZ,29084.761921931087,57117.82587892465,0,0,12.0,12.0,600000.0,52.73015441356782,3400000.0,0
CH-PA,39875.892352603696,51722.26066358834,0,0,61.0,26.0,1700000.0,43.57314828188723,2850000.0,0
CH-PE,58571.91100143439,42374.251339172995,0,0,30.0,28.0,16300000.0,50.773398531595575,11850000.0,0
CH-PH,62939.599460696234,40190.40710954207,0,0,60.0,6.0,68060000.0,52.97668007650633,37730000.0,0
CH-PK,66806.94028248772,38256.73669864633,0,0,21.0,20.0,33370000.0,29.162536355143544,20385000.0,0
CH-PL,39707.17180618299,51806.620936798696,0,1,34.0,6.0,10300000.0,39.63396169544252,8850000.0,1
CH-PT,36731.66330611559,53294.375186832396,0,0,29.0,39.0,2100000.0,49.68389424794933,4750000.0,1
CH-SA,22924.74634166849,60197.833669055944,0,0,46.0,18.0,20020000.0,54.172882242143245,13710000.0,0
CH-SE,18138.57619706139,62590.91874135949,0,0,3.0,65.0,2600000.0,51.9109177284228,5000000.0,1
CH-SG,28920.951185101803,86120.6824324411,0,0,40.0,22.0,770000.0,58.68971059367473,4085000.0,0
CH-SL,69965.88036700968,36677.26665638535,0,0,43.0,24.0,3006600.0,25.259768227961104,2196700.0,0
CH-SV,62837.65606547099,40241.378807154695,0,0,32.0,30.0,300000.0,47.03855346783653,3550000.0,0
CH-TH,53129.99505193689,45095.20931392175,0,0,30.0,36.0,42300000.0,53.90637259492864,24850000.0,0
CH-TR,43699.22655626919,49810.593561755595,0,0,32.0,25.0,40300000.0,46.79825245725642,23850000.0,0
CH-TZ,69007.81546226164,37156.29910875937,0,0,30.0,29.0,571000.0,24.459591279088396,3985500.0,0
CH-US,8595.788430217384,67362.3126247815,0,0,6.0,8.0,236300000.0,56.92762614352,121850000.0,0
CH-UY,48072.05545007689,47624.179114851744,0,0,27.0,32.0,1300000.0,55.41068200395419,3050000.0,0
CH-ZA,57451.11300655869,42934.650336610845,0,0,15.0,7.0,17580000.0,38.59853103731138,12490000.0,0
CH-ZM,68054.10920791992,37633.15223593023,0,0,30.0,29.0,1447000.0,26.87165111414306,2976500.0,0
CL-AT,31245.952000895097,41337.11542544535,0,0,52.0,51.0,9300000.0,54.17020596622213,8350000.0,0
CL-BE,26813.979113883597,39121.1289819396,0,0,2.0,26.0,6500000.0,61.619187641208,9750000.0,0
CL-CH,45946.067414892386,48687.173132444,0,0,29.0,42.0,9300000.0,54.85178802716871,8350000.0,0
CL-DK,31768.822974908897,41598.55091245225,0,0,45.0,12.0,9300000.0,65.47139048390753,8350000.0,0
CL-ES,14982.248256550902,33205.26355327325,0,1,6.0,14.0,10000000.0,58.38106980053458,18000000.0,0
CL-FI,23866.4657702859,37647.37231014075,0,0,30.0,2.0,10300000.0,58.06849696141745,7850000.0,0
CL-IT,17322.104352038896,34375.19160101725,0,0,13.0,42.0,17000000.0,58.65688163182631,21500000.0,0
CL-NL,32112.4890726697,41770.38396133265,0,0,25.0,14.0,3200000.0,62.23531675072287,11400000.0,0
CL-NO,44094.1899856861,47761.23441784085,0,0,32.0,20.0,9600000.0,64.61121693165721,8200000.0,0
CL-SE,27807.491217831,39617.8850339133,0,0,32.0,23.0,6700000.0,64.59091314552569,9650000.0,0
CN-AT,41462.7314310553,36228.72571036525,0,0,69.0,13.0,2370000.0,20.450224712183942,2515000.0,0
CN-BE,37030.7585440438,34012.7392668595,0,0,15.0,12.0,5170000.0,27.899206387169812,3915000.0,0
CN-CH,56162.84684505259,43578.7834173639,0,0,46.0,4.0,2370000.0,21.131806773130517,2515000.0,0
CN-DK,41985.6024050691,36490.161197372145,0,0,62.0,50.0,2370000.0,31.751409229869346,2515000.0,0
CN-ES,25199.027686711102,28096.87383819315,0,1,23.0,24.0,21670000.0,24.661088546496394,12165000.0,0
CN-FI,34083.2452004461,32538.98259506065,0,0,47.0,40.0,1370000.0,24.348515707379264,2015000.0,0
CN-GB,32076.128020680095,31535.424005177647,0,1,45.0,0.0,42670000.0,32.163680139512536,22665000.0,0
